Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN254AB, Y52Q37, Bockhanger, On or near Trinity Road
Criminal damage and arson: England, Kent, Ashford, Ashford District, South East, TN249RG, Y52Q37, Bockhanger, On or near Mardol Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN248SB, Y52Q37, Bockhanger, On or near Rutherford Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN254AB, Y52Q37, Bockhanger, On or near Trinity Road
Other theft: England, Kent, Ashford, Ashford District, South East, TN254BN, Y52Q37, Bockhanger, On or near Rectory Way
Public order: England, Kent, Ashford, Ashford District, South East, TN249RG, Y52Q37, Bockhanger, On or near Mardol Road
Robbery: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Robbery: England, Kent, Ashford, Ashford District, South East, TN254BZ, Y52Q37, Bockhanger, On or near Fougeres Way
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Old Ash Close
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN249RH, Y52Q37, Bockhanger, On or near Beecholme Drive
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249BZ, Y52Q37, Bockhanger, On or near Bybrook Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN249BY, Y52Q37, Bockhanger, On or near Belmont Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN249JW, Y52Q37, Bybrook, On or near Nine Acres
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN248UA, Y52Q37, Godinton, On or near Maidstone Road
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN231DP, Y52Q37, Godinton, On or near Sackville Crescent
Anti-social behaviour: England, Kent, Ashford, Ashford District, South East, TN231LU, Y52Q37, Godinton, On or near Western Avenue
Public order: England, Kent, Ashford, Ashford District, South East, TN231NA, Y52Q37, Godinton, On or near Godinton Road
Vehicle crime: England, Kent, Ashford, Ashford District, South East, TN233HB, Y52Q37, Godinton, On or near Maidstone Road
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN231LZ, Y52Q37, Godinton, On or near Sports/Recreation Area
Violence and sexual offences: England, Kent, Ashford, Ashford District, South East, TN233HN, Y52Q37, Godinton, On or near Repton Manor Road
